Cell Class,Name,Creation Date,Description,Development,Directional Tuning,Hair Length,Number of Varicosities,Varicosity Surface Area,Reconstruction,Overview,Highlight,Cell,Inset
Integer,Text,Date,Text,Text,Integer,Text,Integer,Decimal,File,Image,Image,Image,Image
,,,Units will go in this row when supported; please do not modify the Yogo ID column.,,,,,,,,,,
11,L.11.10.430,6/16/2006,long type 11 age 10 afferent slide 430 varicosity data,instar_10,28,long,545,3016.64,reconstructions/L.11.10.430.asc,images/index/L.11.10.430.jpg,images/highlight/L.11.10.430.jpg,images/cell/L.11.10.430.jpg,images/inset/L.11.10.430.jpg
11,L.11.10.429,6/16/2006,long type 11 age 10 afferent slide 429 varicosity data,instar_10,28,long,633,3392.19,reconstructions/L.11.10.429.asc,images/index/L.11.10.429.jpg,images/highlight/L.11.10.429.jpg,images/cell/L.11.10.429.jpg,images/inset/L.11.10.429.jpg
11,L.11.10.431,6/16/2006,long type 11 age 10 afferent slide 431 varicosity data,instar_10,28,long,549,3124.08,reconstructions/L.11.10.431.asc,images/index/L.11.10.431.jpg,images/highlight/L.11.10.431.jpg,images/cell/L.11.10.431.jpg,images/inset/L.11.10.431.jpg
1,M.1.10.721,6/16/2006,medium type 1 age 10 afferent slide 721 varicosity data,instar_10,210,medium,760,2293.12,reconstructions/M.1.10.721.asc,images/index/M.1.10.721.jpg,images/highlight/M.1.10.721.jpg,images/cell/M.1.10.721.jpg,images/inset/M.1.10.721.jpg
10,L.10.10.123,6/16/2006,long type 10 age 10 afferent slide 123 varicosity data,instar_10,297,long,558,4850.56,reconstructions/L.10.10.123.asc,images/index/L.10.10.123.jpg,images/highlight/L.10.10.123.jpg,images/cell/L.10.10.123.jpg,images/inset/L.10.10.123.jpg
1,M.1.10.722,6/16/2006,medium type 1 age 10 afferent slide 722 varicosity data,instar_10,210,medium,695,2190.74,reconstructions/M.1.10.722.asc,images/index/M.1.10.722.jpg,images/highlight/M.1.10.722.jpg,images/cell/M.1.10.722.jpg,images/inset/M.1.10.722.jpg
2,M.2.10.726,6/16/2006,medium type 2 age 10 afferent slide 726 varicosity data,instar_10,262,medium,902,3016.58,reconstructions/M.2.10.726.asc,images/index/M.2.10.726.jpg,images/highlight/M.2.10.726.jpg,images/cell/M.2.10.726.jpg,images/inset/M.2.10.726.jpg
2,M.2.10.736,6/16/2006,medium type 2 age 10 afferent slide 736 varicosity data,instar_10,262,medium,872,2816.15,reconstructions/M.2.10.736.asc,images/index/M.2.10.736.jpg,images/highlight/M.2.10.736.jpg,images/cell/M.2.10.736.jpg,images/inset/M.2.10.736.jpg
2,M.2.10.737,6/16/2006,medium type 2 age 10 afferent slide 737 varicosity data,instar_10,262,medium,676,2430.46,reconstructions/M.2.10.737.asc,images/index/M.2.10.737.jpg,images/highlight/M.2.10.737.jpg,images/cell/M.2.10.737.jpg,images/inset/M.2.10.737.jpg
2,M.2.10.738,6/16/2006,medium type 2 age 10 afferent slide 738 varicosity data,instar_10,262,medium,860,3614.66,reconstructions/M.2.10.738.asc,images/index/M.2.10.738.jpg,images/highlight/M.2.10.738.jpg,images/cell/M.2.10.738.jpg,images/inset/M.2.10.738.jpg
3,M.3.10.924,6/16/2006,medium type 3 age 10 afferent slide 924 varicosity data,instar_10,295,medium,647,1845.61,reconstructions/M.3.10.924.asc,images/index/M.3.10.924.jpg,images/highlight/M.3.10.924.jpg,images/cell/M.3.10.924.jpg,images/inset/M.3.10.924.jpg
3,M.3.10.923,6/16/2006,medium type 3 age 10 afferent slide 923 varicosity data,instar_10,295,medium,569,1838.17,reconstructions/M.3.10.923.asc,images/index/M.3.10.923.jpg,images/highlight/M.3.10.923.jpg,images/cell/M.3.10.923.jpg,images/inset/M.3.10.923.jpg
3,M.3.10.926,6/16/2006,medium type 3 age 10 afferent slide 926 varicosity data,instar_10,295,medium,840,2693.69,reconstructions/M.3.10.926.asc,images/index/M.3.10.926.jpg,images/highlight/M.3.10.926.jpg,images/cell/M.3.10.926.jpg,images/inset/M.3.10.926.jpg
10,L.10.10.130,6/16/2006,long type 10 age 10 afferent slide 130 varicosity data,instar_10,297,long,655,3684.15,reconstructions/L.10.10.130.asc,images/index/L.10.10.130.jpg,images/highlight/L.10.10.130.jpg,images/cell/L.10.10.130.jpg,images/inset/L.10.10.130.jpg
4,M.4.10.919,6/16/2006,medium type 4 age 10 afferent slide 919 varicosity data,instar_10,320,medium,851,3337.02,reconstructions/M.4.10.919.asc,images/index/M.4.10.919.jpg,images/highlight/M.4.10.919.jpg,images/cell/M.4.10.919.jpg,images/inset/M.4.10.919.jpg
4,M.4.10.920,6/16/2006,medium type 4 age 10 afferent slide 920 varicosity data,instar_10,320,medium,1403,3931.41,reconstructions/M.4.10.920.asc,images/index/M.4.10.920.jpg,images/highlight/M.4.10.920.jpg,images/cell/M.4.10.920.jpg,images/inset/M.4.10.920.jpg
4,M.4.10.921,6/16/2006,medium type 4 age 10 afferent slide 921 varicosity data,instar_10,320,medium,901,2647.94,reconstructions/M.4.10.921.asc,images/index/M.4.10.921.jpg,images/highlight/M.4.10.921.jpg,images/cell/M.4.10.921.jpg,images/inset/M.4.10.921.jpg
5,M.5.10.912,6/16/2006,medium type 5 age 10 afferent slide 912 varicosity data,instar_10,30,medium,699,2417.69,reconstructions/M.5.10.912.asc,images/index/M.5.10.912.jpg,images/highlight/M.5.10.912.jpg,images/cell/M.5.10.912.jpg,images/inset/M.5.10.912.jpg
5,M.5.10.914,6/16/2006,medium type 5 age 10 afferent slide 914 varicosity data,instar_10,30,medium,813,3421.24,reconstructions/M.5.10.914.asc,images/index/M.5.10.914.jpg,images/highlight/M.5.10.914.jpg,images/cell/M.5.10.914.jpg,images/inset/M.5.10.914.jpg
5,M.5.10.915,6/16/2006,medium type 5 age 10 afferent slide 915 varicosity data,instar_10,30,medium,814,3025.47,reconstructions/M.5.10.915.asc,images/index/M.5.10.915.jpg,images/highlight/M.5.10.915.jpg,images/cell/M.5.10.915.jpg,images/inset/M.5.10.915.jpg
5,M.5.10.917,6/16/2006,medium type 5 age 10 afferent slide 917 varicosity data,instar_10,30,medium,820,2544.92,reconstructions/M.5.10.917.asc,images/index/M.5.10.917.jpg,images/highlight/M.5.10.917.jpg,images/cell/M.5.10.917.jpg,images/inset/M.5.10.917.jpg
6,M.6.10.910,6/16/2006,medium type 6 age 10 afferent slide 910 varicosity data,instar_10,209,medium,484,3305.66,reconstructions/M.6.10.910.asc,images/index/M.6.10.910.jpg,images/highlight/M.6.10.910.jpg,images/cell/M.6.10.910.jpg,images/inset/M.6.10.910.jpg
7,M.7.10.716,6/16/2006,medium type 7 age 10 afferent slide 716 varicosity data,instar_10,30,medium,482,2200.49,reconstructions/M.7.10.716.asc,images/index/M.7.10.716.jpg,images/highlight/M.7.10.716.jpg,images/cell/M.7.10.716.jpg,images/inset/M.7.10.716.jpg
10,L.10.10.131,6/16/2006,long type 10 age 10 afferent slide 131 varicosity data,instar_10,297,long,745,5958.97,reconstructions/L.10.10.131.asc,images/index/L.10.10.131.jpg,images/highlight/L.10.10.131.jpg,images/cell/L.10.10.131.jpg,images/inset/L.10.10.131.jpg
7,M.7.10.731,6/16/2006,medium type 7 age 10 afferent slide 731 varicosity data,instar_10,30,medium,534,1769.2,reconstructions/M.7.10.731.asc,images/index/M.7.10.731.jpg,images/highlight/M.7.10.731.jpg,images/cell/M.7.10.731.jpg,images/inset/M.7.10.731.jpg
7,M.7.10.732,6/16/2006,medium type 7 age 10 afferent slide 732 varicosity data,instar_10,30,medium,506,2097.78,reconstructions/M.7.10.732.asc,images/index/M.7.10.732.jpg,images/highlight/M.7.10.732.jpg,images/cell/M.7.10.732.jpg,images/inset/M.7.10.732.jpg
8,M.8.10.710,6/16/2006,medium type 8 age 10 afferent slide 710 varicosity data,instar_10,110,medium,620,1985.51,reconstructions/M.8.10.710.asc,images/index/M.8.10.710.jpg,images/highlight/M.8.10.710.jpg,images/cell/M.8.10.710.jpg,images/inset/M.8.10.710.jpg
8,M.8.10.713,6/16/2006,medium type 8 age 10 afferent slide 713 varicosity data,instar_10,110,medium,636,2141.0,reconstructions/M.8.10.713.asc,images/index/M.8.10.713.jpg,images/highlight/M.8.10.713.jpg,images/cell/M.8.10.713.jpg,images/inset/M.8.10.713.jpg
9,M.9.10.907,6/16/2006,medium type 9 age 10 afferent slide 907 varicosity data,instar_10,115,medium,545,3287.3,reconstructions/M.9.10.907.asc,images/index/M.9.10.907.jpg,images/highlight/M.9.10.907.jpg,images/cell/M.9.10.907.jpg,images/inset/M.9.10.907.jpg
9,M.9.10.908,6/16/2006,medium type 9 age 10 afferent slide 908 varicosity data,instar_10,115,medium,459,3010.41,reconstructions/M.9.10.908.asc,images/index/M.9.10.908.jpg,images/highlight/M.9.10.908.jpg,images/cell/M.9.10.908.jpg,images/inset/M.9.10.908.jpg
9,M.9.10.909,6/16/2006,medium type 9 age 10 afferent slide 909 varicosity data,instar_10,115,medium,539,2710.12,reconstructions/M.9.10.909.asc,images/index/M.9.10.909.jpg,images/highlight/M.9.10.909.jpg,images/cell/M.9.10.909.jpg,images/inset/M.9.10.909.jpg
10,M.10.10.705,6/16/2006,medium type 10 age 10 afferent slide 705 varicosity data,instar_10,297,medium,706,2347.98,reconstructions/M.10.10.705.asc,images/index/M.10.10.705.jpg,images/highlight/M.10.10.705.jpg,images/cell/M.10.10.705.jpg,images/inset/M.10.10.705.jpg
10,M.10.10.707,6/16/2006,medium type 10 age 10 afferent slide 707 varicosity data,instar_10,297,medium,627,1895.98,reconstructions/M.10.10.707.asc,images/index/M.10.10.707.jpg,images/highlight/M.10.10.707.jpg,images/cell/M.10.10.707.jpg,images/inset/M.10.10.707.jpg
10,L.10.10.144,6/16/2006,long type 10 age 10 afferent slide 144 varicosity data,instar_10,297,long,776,4615.27,reconstructions/L.10.10.144.asc,images/index/L.10.10.144.jpg,images/highlight/L.10.10.144.jpg,images/cell/L.10.10.144.jpg,images/inset/L.10.10.144.jpg
11,M.11.10.927,6/16/2006,medium type 11 age 10 afferent slide 927 varicosity data,instar_10,28,medium,556,2651.76,reconstructions/M.11.10.927.asc,images/index/M.11.10.927.jpg,images/highlight/M.11.10.927.jpg,images/cell/M.11.10.927.jpg,images/inset/M.11.10.927.jpg
11,M.11.10.928,6/16/2006,medium type 11 age 10 afferent slide 928 varicosity data,instar_10,28,medium,503,1721.66,reconstructions/M.11.10.928.asc,images/index/M.11.10.928.jpg,images/highlight/M.11.10.928.jpg,images/cell/M.11.10.928.jpg,images/inset/M.11.10.928.jpg
11,M.11.10.929,6/16/2006,medium type 11 age 10 afferent slide 929 varicosity data,instar_10,28,medium,678,2305.87,reconstructions/M.11.10.929.asc,images/index/M.11.10.929.jpg,images/highlight/M.11.10.929.jpg,images/cell/M.11.10.929.jpg,images/inset/M.11.10.929.jpg
1,S.1.10.1103,6/16/2006,short type 1 age 10 afferent slide 1103 varicosity data,instar_10,210,short,364,748.48,reconstructions/S.1.10.1103.asc,images/index/S.1.10.1103.jpg,images/highlight/S.1.10.1103.jpg,images/cell/S.1.10.1103.jpg,images/inset/S.1.10.1103.jpg
1,S.1.10.1102,6/16/2006,short type 1 age 10 afferent slide 1102 varicosity data,instar_10,210,short,266,504.8,reconstructions/S.1.10.1102.asc,images/index/S.1.10.1102.jpg,images/highlight/S.1.10.1102.jpg,images/cell/S.1.10.1102.jpg,images/inset/S.1.10.1102.jpg
1,S.1.10.1104,6/16/2006,short type 1 age 10 afferent slide 1104 varicosity data,instar_10,210,short,931,1340.62,reconstructions/S.1.10.1104.asc,images/index/S.1.10.1104.jpg,images/highlight/S.1.10.1104.jpg,images/cell/S.1.10.1104.jpg,images/inset/S.1.10.1104.jpg
1,S.1.10.1105,6/16/2006,short type 1 age 10 afferent slide 1105 varicosity data,instar_10,210,short,929,1365.46,reconstructions/S.1.10.1105.asc,images/index/S.1.10.1105.jpg,images/highlight/S.1.10.1105.jpg,images/cell/S.1.10.1105.jpg,images/inset/S.1.10.1105.jpg
2,S.2.10.1106,6/16/2006,short type 2 age 10 afferent slide 1106 varicosity data,instar_10,262,short,569,1176.55,reconstructions/S.2.10.1106.asc,images/index/S.2.10.1106.jpg,images/highlight/S.2.10.1106.jpg,images/cell/S.2.10.1106.jpg,images/inset/S.2.10.1106.jpg
2,S.2.10.1108,6/16/2006,short type 2 age 10 afferent slide 1108 varicosity data,instar_10,262,short,592,1293.78,reconstructions/S.2.10.1108.asc,images/index/S.2.10.1108.jpg,images/highlight/S.2.10.1108.jpg,images/cell/S.2.10.1108.jpg,images/inset/S.2.10.1108.jpg
10,L.10.10.168,6/16/2006,long type 10 age 10 afferent slide 168 varicosity data,instar_10,297,long,837,4343.11,reconstructions/L.10.10.168.asc,images/index/L.10.10.168.jpg,images/highlight/L.10.10.168.jpg,images/cell/L.10.10.168.jpg,images/inset/L.10.10.168.jpg
2,S.2.10.1109,6/16/2006,short type 2 age 10 afferent slide 1109 varicosity data,instar_10,262,short,794,1552.83,reconstructions/S.2.10.1109.asc,images/index/S.2.10.1109.jpg,images/highlight/S.2.10.1109.jpg,images/cell/S.2.10.1109.jpg,images/inset/S.2.10.1109.jpg
2,S.2.10.1110,6/16/2006,short type 2 age 10 afferent slide 1110 varicosity data,instar_10,262,short,755,1307.48,reconstructions/S.2.10.1110.asc,images/index/S.2.10.1110.jpg,images/highlight/S.2.10.1110.jpg,images/cell/S.2.10.1110.jpg,images/inset/S.2.10.1110.jpg
2,S.2.10.1173,6/16/2006,short type 2 age 10 afferent slide 1173 varicosity data,instar_10,262,short,986,3078.02,reconstructions/S.2.10.1173.asc,images/index/S.2.10.1173.jpg,images/highlight/S.2.10.1173.jpg,images/cell/S.2.10.1173.jpg,images/inset/S.2.10.1173.jpg
3,S.3.10.1111,6/16/2006,short type 3 age 10 afferent slide 1111 varicosity data,instar_10,295,short,635,1047.06,reconstructions/S.3.10.1111.asc,images/index/S.3.10.1111.jpg,images/highlight/S.3.10.1111.jpg,images/cell/S.3.10.1111.jpg,images/inset/S.3.10.1111.jpg
